company_id,churn_flag,plan_tier,billing_cycle,industry,acquisition_channel,mrr,total_tickets,serious_tickets,avg_satisfaction_score,total_events,total_active_users,lifespan_days,champion_reliance_percentage,late_window_events,early_window_events
COMP-0263,N,enterprise,monthly,Energy,partner,6432.36,9,3,4.2500,2499,8,546,13.7300,299,573
COMP-0264,N,professional,monthly,Consulting,organic,1410.87,2,1,3.0000,831,3,278,34.4200,186,344
COMP-0265,N,starter,monthly,Technology,direct,396.62,6,0,3.0000,975,2,545,51.9000,113,215
COMP-0266,N,professional,monthly,Non-Profit,direct,1539.01,3,1,3.6667,1615,15,546,7.3100,187,345
COMP-0267,N,starter,annual,Government,direct,449.99,5,0,3.6000,1001,3,545,35.3600,106,208
COMP-0268,N,professional,monthly,Consulting,paid,1881.38,3,0,4.0000,1532,8,546,13.5100,183,333
COMP-0269,Y,professional,monthly,Government,organic,1433.02,5,4,2.5000,358,6,521,19.2700,9,56
COMP-0270,N,professional,monthly,Real Estate,organic,1120.22,5,0,3.3333,1581,3,546,34.0900,191,351
COMP-0271,N,professional,annual,Real Estate,referral,2195.95,2,0,3.5000,1051,12,339,9.9900,189,373
COMP-0272,N,professional,annual,Technology,organic,2105.07,6,1,4.5000,1701,14,546,8.0500,196,351
COMP-0273,N,starter,monthly,Hospitality,partner,417.02,7,4,3.5000,656,3,374,37.0400,105,207
COMP-0274,Y,professional,annual,Education,organic,1536.91,9,5,2.5714,91,4,202,30.7700,3,55
COMP-0275,N,enterprise,monthly,Legal,organic,2851.4,11,2,3.8750,2443,37,546,3.2700,289,555
COMP-0276,N,enterprise,monthly,Legal,referral,3649.36,7,1,2.8333,2460,40,546,3.0900,267,512
COMP-0277,N,enterprise,annual,Logistics,paid,5319.12,5,1,4.0000,2499,36,546,3.6800,300,554
COMP-0278,N,enterprise,annual,Technology,referral,2616.45,2,2,3.5000,2478,12,546,9.6900,310,490
COMP-0279,N,professional,monthly,Hospitality,paid,673.15,4,1,4.3333,1623,6,546,18.9200,167,358
COMP-0280,N,starter,monthly,Manufacturing,direct,471.37,3,2,3.6667,989,3,546,34.3800,128,224
COMP-0281,N,starter,annual,Finance,partner,281.32,4,2,4.0000,1019,4,546,26.5000,119,222
COMP-0282,Y,starter,monthly,Legal,organic,193.26,3,1,2.3333,109,2,342,50.4600,5,47
COMP-0283,N,professional,annual,Retail,organic,2037.8,6,2,2.8000,1484,12,486,10.9800,178,346
COMP-0284,N,enterprise,annual,Logistics,direct,4826.49,7,2,4.2500,2445,26,546,5.0700,269,511
COMP-0285,N,starter,monthly,Hospitality,paid,350.95,5,1,2.6667,965,2,546,51.6100,108,211
COMP-0286,N,enterprise,monthly,Healthcare,organic,3148.76,12,2,3.5000,1813,26,398,4.6900,282,578
COMP-0287,N,enterprise,annual,Non-Profit,paid,3399.56,4,0,3.6667,2479,28,546,4.3200,293,530
COMP-0288,N,starter,monthly,Legal,direct,245.14,4,2,3.2500,971,3,546,33.9900,124,217
COMP-0289,N,enterprise,annual,Non-Profit,paid,8422.97,2,0,2.0000,840,18,199,6.7900,249,519
COMP-0290,Y,professional,monthly,Legal,direct,1305.1,8,4,2.3333,286,5,481,22.0300,10,49
COMP-0291,N,professional,annual,Logistics,referral,1292.56,7,3,3.5000,1633,12,545,9.6800,184,355
COMP-0292,N,starter,annual,Non-Profit,organic,314.25,6,3,3.6667,885,2,508,50.6200,94,203
COMP-0293,Y,professional,monthly,Manufacturing,partner,726.13,6,2,3.0000,44,3,139,36.3600,8,36
COMP-0294,N,starter,monthly,Healthcare,partner,427.12,4,1,3.2500,1023,5,546,20.8200,110,221
COMP-0295,N,enterprise,annual,Non-Profit,organic,7488.21,3,0,3.3333,2513,7,546,14.6400,268,559
COMP-0296,N,enterprise,annual,Healthcare,organic,5892.9,9,4,3.5000,2561,45,546,3.2800,280,568
COMP-0297,Y,starter,annual,Energy,organic,309.97,11,6,2.5556,59,7,249,18.6400,7,27
COMP-0298,N,professional,annual,Energy,organic,2142.17,7,3,3.0000,1639,2,546,50.4600,185,370
COMP-0299,N,professional,monthly,Consulting,partner,765.69,4,1,4.2500,1640,24,546,5.4900,195,338
COMP-0300,N,enterprise,monthly,Consulting,paid,5182.85,8,1,3.0000,1261,31,284,4.2800,286,514
COMP-0301,N,starter,annual,Government,organic,270.85,4,0,3.6667,917,3,544,35.8800,94,196
COMP-0302,N,professional,annual,Government,direct,1736.2,2,0,5.0000,849,9,273,12.3700,205,383
COMP-0303,N,starter,monthly,Energy,paid,243.44,1,1,3.0000,1000,3,546,35.0000,101,218
COMP-0304,N,starter,monthly,Finance,referral,386.43,6,2,4.3333,296,2,165,52.0300,97,199
COMP-0305,Y,enterprise,monthly,Consulting,direct,8842.85,12,5,2.2000,88,8,159,17.0500,20,68
COMP-0306,N,enterprise,monthly,Energy,referral,7544.95,8,3,4.0000,2423,8,546,14.0300,273,509
COMP-0307,N,starter,monthly,Healthcare,referral,195.52,2,0,2.5000,995,4,543,27.8400,100,223
COMP-0308,N,professional,annual,Government,referral,1949.02,3,0,3.6667,1605,8,546,13.1500,160,360
COMP-0309,N,professional,annual,Logistics,paid,1468.93,3,1,4.0000,1673,14,545,8.1900,178,353
COMP-0310,N,enterprise,annual,Non-Profit,organic,6148.68,8,3,2.8571,2371,36,542,3.5800,240,526
COMP-0311,N,enterprise,annual,Manufacturing,organic,8453.56,8,2,4.0000,2475,19,546,6.1800,273,555
COMP-0312,N,professional,monthly,Technology,referral,1112.5,3,0,4.0000,1449,6,461,17.8700,213,353
COMP-0313,N,starter,annual,Logistics,paid,389.89,2,0,3.0000,949,7,546,17.0700,100,236
COMP-0314,Y,starter,annual,Hospitality,paid,175.64,7,7,3.2000,63,3,204,39.6800,10,43
COMP-0315,N,starter,monthly,Consulting,paid,152.06,4,1,4.0000,947,4,546,27.0300,114,196
COMP-0316,Y,professional,monthly,Healthcare,direct,1210.26,6,2,2.2000,29,16,112,10.3400,9,20
COMP-0317,N,professional,annual,Logistics,partner,1766.92,3,1,5.0000,1600,7,541,16.4400,204,346
COMP-0318,N,professional,annual,Real Estate,organic,1797.27,4,1,4.3333,1680,14,546,8.5100,184,346
COMP-0319,N,professional,monthly,Energy,paid,1673.56,1,0,3.0000,472,2,162,52.3300,166,306
COMP-0320,Y,starter,monthly,Real Estate,referral,483.04,5,3,2.6000,137,2,321,52.5500,9,48
COMP-0321,N,professional,monthly,Manufacturing,referral,1892.32,4,1,4.0000,1600,10,546,11.3800,173,330
COMP-0322,N,enterprise,monthly,Education,organic,4485.57,9,3,4.1250,2418,60,546,2.1900,264,505
COMP-0323,N,professional,annual,Energy,partner,1610.6,5,0,2.5000,1645,21,546,5.5900,174,361
COMP-0324,N,professional,monthly,Education,organic,2026.3,4,2,2.6667,1249,17,397,8.0100,197,382
COMP-0325,N,professional,annual,Real Estate,partner,1582.46,1,1,3.0000,1456,8,474,13.9400,197,354
COMP-0326,N,professional,monthly,Finance,organic,950.11,7,2,2.7500,1623,15,546,7.8300,175,347
COMP-0327,N,enterprise,annual,Technology,paid,6715.41,8,4,3.6250,1314,25,280,5.2500,280,558
COMP-0328,N,starter,monthly,Retail,referral,464.38,2,1,4.0000,1001,2,546,52.0500,110,207
COMP-0329,Y,professional,monthly,Education,referral,1402.94,5,3,3.6000,181,4,342,28.1800,7,60
COMP-0330,N,professional,monthly,Finance,organic,781.34,2,0,2.5000,1603,17,546,6.9900,183,354
COMP-0331,N,professional,monthly,Non-Profit,referral,662.71,7,1,4.4000,1625,22,546,6.0900,164,369
COMP-0332,N,enterprise,annual,Finance,partner,8657.15,11,4,2.8889,2423,39,546,3.1400,270,557
COMP-0333,Y,professional,monthly,Finance,paid,1696.95,6,2,2.2000,80,11,201,16.2500,10,52
COMP-0334,N,enterprise,annual,Technology,paid,8360.45,10,1,3.8750,2420,2,546,51.0700,240,541
COMP-0335,N,enterprise,annual,Healthcare,referral,5893.29,9,1,3.6667,836,5,189,22.6100,263,528
COMP-0336,N,professional,monthly,Education,partner,2056.14,6,0,3.6000,1656,6,546,18.0000,183,341
COMP-0337,N,professional,monthly,Education,paid,1886.86,5,2,3.2500,1659,16,546,7.0500,194,362
COMP-0338,N,professional,annual,Legal,organic,925.91,7,2,4.0000,885,12,299,10.1700,196,346
COMP-0339,N,enterprise,monthly,Real Estate,paid,8114.9,5,1,3.7500,1421,12,318,9.5700,277,543
COMP-0340,N,enterprise,annual,Finance,referral,2838.34,3,0,4.3333,2496,58,544,2.3200,256,553
COMP-0341,N,starter,monthly,Energy,paid,163.21,3,1,3.0000,651,2,341,53.0000,119,226
COMP-0342,Y,professional,monthly,Real Estate,paid,1651.01,10,6,2.5556,194,2,335,55.6700,13,57
COMP-0343,N,starter,monthly,Government,paid,498.89,7,1,4.3333,960,4,546,26.3500,99,214
COMP-0344,N,enterprise,monthly,Education,partner,6134.24,2,1,3.5000,2437,37,546,3.7300,284,499
COMP-0345,N,starter,monthly,Education,referral,326.11,5,3,4.6667,535,3,284,38.1300,110,235
COMP-0346,N,enterprise,annual,Hospitality,partner,7423.58,4,2,3.6667,2430,6,546,17.6500,257,496
COMP-0347,N,starter,annual,Energy,paid,395.41,4,2,2.5000,997,4,546,26.2800,118,219
COMP-0348,N,professional,annual,Technology,paid,2090.23,1,0,5.0000,1722,2,546,51.5100,198,367
COMP-0349,Y,starter,monthly,Retail,organic,230.22,3,2,1.6667,4,3,15,50.0000,4,0
COMP-0350,N,enterprise,monthly,Non-Profit,organic,8337.79,3,0,1.0000,1879,57,406,2.4500,265,589
