subscription_id,company_id,plan_tier,billing_cycle,start_date,end_date,churn_flag,mrr,contract_value
SUB-00330,COMP-0330,Professional,monthly,2023-01-02,,N,781.34,781.34
SUB-00331,COMP-0331,Professional,monthly,2022-11-18,,N,662.71,662.71
SUB-00332,COMP-0332,Enterprise,annual,2023-09-26,,N,8657.15,90568.43
SUB-00333,COMP-0333,Professional,monthly,2022-08-10,2024-07-22,Y,1696.95,1696.95
SUB-00334,COMP-0334,Enterprise,annual,2023-11-27,,N,8360.45,92169.56
SUB-00335,COMP-0335,Enterprise,annual,2024-12-23,,N,5893.29,63508.4
SUB-00336,COMP-0336,Professional,monthly,2023-12-09,,N,2056.14,2056.14
SUB-00337,COMP-0337,Professional,monthly,2022-11-06,,N,1886.86,1886.86
SUB-00338,COMP-0338,Professional,annual,2024-09-04,,N,925.91,9451.44
SUB-00339,COMP-0339,Enterprise,monthly,2024-08-16,,N,8114.9,8114.9
SUB-00340,COMP-0340,Enterprise,annual,2024-01-03,,N,2838.34,32724.05
SUB-00341,COMP-0341,Starter,monthly,2024-07-24,,N,163.21,163.21
SUB-00342,COMP-0342,Professional,monthly,2022-12-17,2024-12-02,Y,1651.01,1651.01
SUB-00343,COMP-0343,Starter,monthly,2023-07-10,,N,498.89,498.89
SUB-00344,COMP-0344,Enterprise,monthly,2023-03-11,,N,6134.24,6134.24
SUB-00345,COMP-0345,Starter,monthly,2024-09-19,,N,326.11,326.11
SUB-00346,COMP-0346,Enterprise,annual,2023-09-15,,N,7423.58,88756.93
SUB-00347,COMP-0347,Starter,annual,2023-05-28,,N,395.41,4268.97
SUB-00348,COMP-0348,Professional,annual,2023-01-10,,N,2090.23,23974.55
SUB-00349,COMP-0349,Starter,monthly,2023-05-31,2024-02-22,Y,230.22,230.22
SUB-00350,COMP-0350,Enterprise,monthly,2024-05-20,,N,8337.79,8337.79
