company_id,company_name,industry,employee_count,country,plan_tier,billing_cycle,acquisition_channel,mrr,num_seats,signup_date
COMP-0251,"Wright, Bruce and Gonzalez",Technology,307,MV,starter_plan,monthly,PARTNER,341.47,3,2023-10-08
COMP-0252,Rodriguez-James,Consulting,20,MK,starter_plan,annual,organic,343.94,13,03-16-2023
COMP-0253,"Phillips, Lyons and Johnson",Healthcare,3251,KM,STARTER,monthly,Organic,253.09,12,10-05-2023
COMP-0254,Hill-Knight,Non-Profit,28,LA,STARTER,monthly,Organic,381.36,3,2023-07-02
COMP-0255,"Beltran, Lozano and Mcgee",Finance,2801,JO,starter,annual,REFERRAL,202.9,13,08-27-2022
COMP-0256,Lawson LLC,Logistics,155,GN,Professional,annual,partner,1269.81,42,09-30-2023
COMP-0257,"Lee, King and Campos",Education,40,KM,Professional,annual,PARTNER,1684.06,47,09-03-2023
COMP-0258,"Massey, Fuller and Berger",Finance,1174,KH,Starter,annual,paid_search,437.9,4,05-12-2024
COMP-0259,Parker Group,Government,3278,AU,PROFESSIONAL,annual,organic_search,2067.46,8,15/11/2024
COMP-0260,"Diaz, Anderson and Browning",Logistics,78,LR,PROFESSIONAL,ANNUAL,direct sales,760.33,14,09-12-2022
COMP-0261,"Perry, Gonzalez and Buchanan",Energy,2081,MM,PROFESSIONAL,ANNUAL,ORGANIC,875.52,33,2023-07-17
COMP-0262,"Shaw, Nelson and Martin",Government,963,RO,enterprise_plan,monthly,Partner,4469.86,96,12-22-2024
COMP-0263,Francis-Morgan,Energy,4990,CI,enterprise_plan,monthly,Partner,6432.36,47,01-03-2023
COMP-0264,Mccarty-Taylor,Consulting,41,GR,Professional,monthly,ORGANIC,1410.87,16,25/09/2024
COMP-0265,"Ramsey, Whitney and Coffey",Technology,21,TH,STARTER,monthly,Direct Sales,396.62,6,09-19-2023
COMP-0266,Davis-Foster,Non-Profit,2525,IN,professional,monthly,direct_sales,1539.01,30,02-20-2023
COMP-0267,"Martinez, Richardson and Curry",Government,15,IN,starter,annual,direct_sales,449.99,12,2022-12-29
COMP-0268,"James, Little and Watson",Consulting,42,GQ,PROFESSIONAL,monthly,Paid Search,1881.38,22,2023-04-09
COMP-0269,Ruiz PLC,Government,585,TJ,Pro,monthly,organic_search,1433.02,47,13/09/2022
COMP-0270,Herman-Walker,Real Estate,48,BI,professional,monthly,organic,1120.22,25,2023-04-02
COMP-0271,"Colon, Blankenship and Turner",Real Estate,814,NE,PROFESSIONAL,ANNUAL,Referral,2195.95,24,26/07/2024
COMP-0272,Taylor Inc,Technology,196,KI,PROFESSIONAL,annual,organic_search,2105.07,30,11-22-2022
COMP-0273,Wilson-Young,Hospitality,1399,SO,starter,monthly,partner_channel,417.02,4,20/06/2024
COMP-0274,Price LLC,Education,962,SV,professional,ANNUAL,organic_search,1536.91,37,28/08/2024
COMP-0275,"Horton, Fernandez and Matthews",Legal,14,ZA,Ent,monthly,ORGANIC,2851.4,243,2022-12-23
COMP-0276,Mcclure Ltd,Legal,86,BZ,Enterprise,monthly,REFERRAL,3649.36,187,09-06-2023
COMP-0277,Gilbert-Crosby,Logistics,1648,IT,ENTERPRISE,annual,PAID SEARCH,5319.12,134,02/10/2023
COMP-0278,Vaughn and Sons,Technology,44,PA,enterprise_plan,annual,referral_program,2616.45,26,2023-02-10
COMP-0279,Sampson-Foley,Hospitality,1420,BZ,pro,monthly,paid search,673.15,26,2023-11-15
COMP-0280,"Richardson, Winters and Newman",Manufacturing,,BH,STARTER,MONTHLY,DirectSales,471.37,8,2023-01-16
COMP-0281,Hill-Donaldson,Finance,55,PH,Starter,ANNUAL,partner_channel,281.32,12,30/11/2023
COMP-0282,Bates Ltd,Legal,13,DZ,STARTER,monthly,organic,193.26,6,2022-11-04
COMP-0283,"Maddox, Williams and Cook",Retail,878,CN,Professional,ANNUAL,Organic,2037.8,40,2024-03-01
COMP-0284,"Harris, Gallegos and Spencer",Logistics,177,TZ,enterprise_plan,annual,Direct Sales,4826.49,129,07-11-2022
COMP-0285,Li and Sons,Hospitality,23,LS,starter,monthly,paid_search,350.95,9,09-01-2022
COMP-0286,Kramer PLC,Healthcare,1946,AD,enterprise,monthly,Organic,3148.76,69,28/05/2024
COMP-0287,Garrison-Thomas,Non-Profit,30,CO,Enterprise,annual,paid_search,3399.56,190,02/06/2023
COMP-0288,"King, Thompson and Guerrero",Legal,581,AR,STARTER,monthly,DIRECT SALES,245.14,8,2023-10-03
COMP-0289,Smith and Sons,Non-Profit,20,TZ,Ent,annual,paid_search,8422.97,148,13/12/2024
COMP-0290,Smith-Baker,Legal,141,CN,professional,MONTHLY,direct_sales,1305.1,12,2023-04-18
COMP-0291,"Fisher, Wilson and Brown",Logistics,429,PE,pro,annual,referral_program,1292.56,54,2023-05-21
COMP-0292,Palmer-Rodriguez,Non-Profit,34,SC,starter_plan,annual,organic,314.25,9,08/02/2024
COMP-0293,Dougherty Inc,Manufacturing,134,ZA,PROFESSIONAL,MONTHLY,Partner,726.13,36,08-17-2024
COMP-0294,"Boyd, Ellis and Maynard",Healthcare,2652,BH,STARTER,MONTHLY,partner_channel,427.12,11,11-03-2023
COMP-0295,Boone-Simmons,Non-Profit,39,CD,Enterprise,annual,Organic,7488.21,178,06-08-2023
COMP-0296,Joseph-Wallace,Healthcare,202,BR,ENTERPRISE,annual,organic_search,5892.9,204,16/11/2022
COMP-0297,Franklin-Jones,Energy,77,IS,starter_plan,annual,organic_search,309.97,14,2023-05-13
COMP-0298,"Schultz, Kelley and Nguyen",Energy,4652,UG,pro,ANNUAL,organic,2142.17,8,20/07/2022
COMP-0299,"Phillips, Wagner and Jordan",Consulting,173,ME,Professional,monthly,PARTNER,765.69,50,2023-04-26
COMP-0300,Farrell Ltd,Consulting,480,TG,Enterprise,monthly,PAID SEARCH,5182.85,204,2024-09-19
COMP-0301,"Glenn, Jordan and Beasley",Government,130,NG,starter_plan,annual,ORGANIC,270.85,12,2022-11-30
COMP-0302,Wilcox-Ross,Government,927,ZA,Pro,annual,direct sales,1736.2,51,2024-09-30
COMP-0303,Edwards LLC,Energy,37,TL,STARTER,MONTHLY,paid_search,243.44,14,03-21-2023
COMP-0304,Brooks-Hernandez,Finance,,PY,starter,MONTHLY,referral,386.43,10,01-15-2025
COMP-0305,Davis Inc,Consulting,25,BW,enterprise,monthly,direct_sales,8842.85,105,01-28-2024
COMP-0306,Davis-Rodgers,Energy,848,CO,ENTERPRISE,monthly,referral_program,7544.95,74,29/11/2022
COMP-0307,"Brown, Frye and Hoffman",Healthcare,21,SV,Starter,monthly,Referral,195.52,11,01-03-2024
COMP-0308,Jenkins Ltd,Government,357,GB,Professional,ANNUAL,referral_program,1949.02,27,12-16-2023
COMP-0309,Parrish-Griffith,Logistics,184,JO,pro,annual,paid_search,1468.93,33,01-13-2023
COMP-0310,"Edwards, Garcia and Romero",Non-Profit,134,DE,enterprise,annual,organic,6148.68,217,2024-01-05
COMP-0311,"Olson, Boone and Bell",Manufacturing,111,TH,Ent,annual,Organic,8453.56,54,2023-12-06
COMP-0312,Wilson-Ramirez,Technology,4288,GR,professional,MONTHLY,referral,1112.5,13,26/03/2024
COMP-0313,Bruce-Villegas,Logistics,44,VU,Starter,annual,paid_search,389.89,15,2023-12-03
COMP-0314,"Leonard, Hawkins and Lynch",Hospitality,68,KM,Starter,annual,Paid Search,175.64,4,2024-10-12
COMP-0315,"Adams, White and Park",Consulting,2656,KR,Starter,monthly,paid search,152.06,13,07-17-2022
COMP-0316,Bell-White,Healthcare,308,CV,Pro,MONTHLY,DIRECT SALES,1210.26,60,09-29-2023
COMP-0317,"Sandoval, Jones and Figueroa",Logistics,849,AT,professional,annual,PARTNER,1766.92,31,2024-01-06
COMP-0318,Reese and Sons,Real Estate,1020,MT,pro,annual,organic,1797.27,54,2023-07-28
COMP-0319,Chavez-Moore,Energy,86,KR,Pro,monthly,paid search,1673.56,44,19/01/2025
COMP-0320,"Nguyen, Pugh and Carlson",Real Estate,39,BF,starter,MONTHLY,Referral,483.04,7,01-27-2023
COMP-0321,Moore PLC,Manufacturing,,BE,pro,monthly,referral_program,1892.32,35,17/04/2023
COMP-0322,"Miller, Ramos and Coleman",Education,568,UZ,Enterprise,MONTHLY,Organic,4485.57,166,08-23-2022
COMP-0323,Perry-Lewis,Energy,18,SG,pro,annual,PARTNER,1610.6,60,20/07/2023
COMP-0324,Reed Inc,Education,3226,JM,professional,MONTHLY,organic,2026.3,45,28/05/2024
COMP-0325,"Gregory, Tucker and Estrada",Real Estate,42,BD,Pro,annual,partner,1582.46,18,2024-03-12
COMP-0326,Foster PLC,Finance,194,BG,pro,monthly,organic,950.11,39,2023-02-26
COMP-0327,Harris and Sons,Technology,2589,CU,ENTERPRISE,annual,PAID SEARCH,6715.41,51,2024-09-23
COMP-0328,Roberts-Wilson,Retail,198,SB,Starter,monthly,Referral,464.38,3,06-21-2023
COMP-0329,"Jordan, Anderson and Patel",Education,561,GT,pro,monthly,referral,1402.94,16,2023-01-22
COMP-0330,"Hansen, Barnett and Gomez",Finance,21,MY,PROFESSIONAL,monthly,Organic,781.34,51,01-02-2023
COMP-0331,"Williams, Smith and Morse",Non-Profit,55,KW,Pro,monthly,referral_program,662.71,44,2022-11-18
COMP-0332,"Patterson, Sullivan and Bowman",Finance,43,JP,Enterprise,annual,PARTNER,8657.15,80,26/09/2023
COMP-0333,Sullivan LLC,Finance,155,DO,pro,MONTHLY,paid_search,1696.95,37,08-10-2022
COMP-0334,"Stevens, Norris and Cox",Technology,3803,NZ,enterprise,annual,paid search,8360.45,178,2023-11-27
COMP-0335,Sanchez PLC,Healthcare,15,MZ,Enterprise,annual,referral,5893.29,119,23/12/2024
COMP-0336,"Miller, Harrell and Reese",Education,40,GN,Pro,monthly,partner,2056.14,13,2023-12-09
COMP-0337,Maxwell-Jones,Education,10,ZW,Professional,monthly,PAID SEARCH,1886.86,34,06/11/2022
COMP-0338,Schmidt and Sons,Legal,748,MG,professional,annual,organic_search,925.91,43,09-04-2024
COMP-0339,Luna-Fuentes,Real Estate,459,CY,Ent,monthly,Paid Search,8114.9,55,08-16-2024
COMP-0340,Garcia LLC,Finance,720,FJ,Ent,annual,referral,2838.34,124,01-03-2024
COMP-0341,Morrison Ltd,Energy,19,BO,starter,monthly,PAID SEARCH,163.21,8,2024-07-24
COMP-0342,Bean Ltd,Real Estate,64,SA,Professional,MONTHLY,PaidSearch,1651.01,59,17/12/2022
COMP-0343,Webster-Wolf,Government,890,PE,starter_plan,monthly,paid_search,498.89,14,10/07/2023
COMP-0344,"Glass, Cunningham and Reid",Education,43,VU,enterprise_plan,monthly,partner,6134.24,174,03-11-2023
COMP-0345,Lin-Burton,Education,788,CZ,starter,MONTHLY,referral,326.11,7,19/09/2024
COMP-0346,Jones-Ramos,Hospitality,3843,KI,enterprise,annual,partner_channel,7423.58,223,09-15-2023
COMP-0347,Vargas-Bell,Energy,11,BN,starter_plan,annual,paid search,395.41,14,2023-05-28
COMP-0348,Murray-Johnson,Technology,1380,MN,pro,annual,paid search,2090.23,38,10/01/2023
COMP-0349,Jones-Lin,Retail,98,BW,Starter,monthly,Organic,230.22,15,05-31-2023
COMP-0350,"Wheeler, Cruz and Carpenter",Non-Profit,41,SZ,Enterprise,monthly,organic_search,8337.79,250,05-20-2024
